tier,formula,k,n,h,eps,solver,lambda_min,lambda_max,kappa,min_converged,max_converged,asym_rel,mass_lambda_min,svds_smin,svds_smax,svds_kappa,svds_checked,l2_err,h1_err,energy_err,cg_iters,solve_converged,assemble_time,solve_time,seed,n_dof_active,n_dof_total,quantity,slope_p,slope_R2
T1,F1,1,32.0,0.03125,1e-06,S2_cg_jacobi,7.38875742792536e-05,380066.98492693057,5143855223.755086,True,True,2.8259618580181953e-19,,,,,False,,,,60.0,True,0.3509729170000355,0.0018394159997114912,12345,55.0,1089.0,,,
T1,F1,1,32.0,0.03125,1e-06,S3_cg_amg,7.38875742792536e-05,380066.98492693057,5143855223.755086,True,True,2.8259618580181953e-19,,,,,False,,,,12.0,True,0.3509729170000355,0.004445416000180558,12345,55.0,1089.0,,,
T1,F1,1,64.0,0.015625,1e-06,S1_lu,0.00014642900381473035,1205982.2507245603,8235952026.624672,True,True,9.374522316108455e-20,,,,,False,0.003335063793181484,0.12148224845540144,0.12299778611813307,0.0,True,1.0352852080000048,0.0002712079999582784,12345,71.0,4225.0,,,
T1,F1,1,64.0,0.015625,1e-06,S2_cg_jacobi,0.00014642900381473035,1205982.2507245603,8235952026.624672,True,True,9.374522316108455e-20,,,,,False,,,,77.0,True,1.0352852080000048,0.0026617499997882987,12345,71.0,4225.0,,,
T1,F1,1,64.0,0.015625,1e-06,S3_cg_amg,0.00014642900381473035,1205982.2507245603,8235952026.624672,True,True,9.374522316108455e-20,,,,,False,,,,16.0,True,1.0352852080000048,0.008599457999935112,12345,71.0,4225.0,,,
T1-slope,F1,1,,,1e-06,S1_lu,,,,,,,,,,,,,,,,,,,12345,,,l2,0.6313326614071718,0.5910451605580866
T1-slope,F1,1,,,1e-06,S1_lu,,,,,,,,,,,,,,,,,,,12345,,,h1,0.27550164280484496,0.4879889424311781
T1-slope,F1,1,,,1e-06,S1_lu,,,,,,,,,,,,,,,,,,,12345,,,energy,0.4278282114421174,0.8458187626595179
T1,F1,2,8.0,0.125,0.5,S1_lu,0.0008709084435552776,578.8714292579559,664675.4128308257,True,True,5.2558598252991305e-17,,,,,False,0.0002682934400355956,0.01566097034657238,0.01809850085076579,0.0,True,0.08780733399999008,0.00038674999996146653,12345,93.0,289.0,,,
T1,F1,2,8.0,0.125,0.5,S2_cg_jacobi,0.0008709084435552776,578.8714292579559,664675.4128308257,True,True,5.2558598252991305e-17,,,,,False,,,,193.0,True,0.08780733399999008,0.005602791000001162,12345,93.0,289.0,,,
T1,F1,2,8.0,0.125,0.5,S3_cg_amg,0.0008709084435552776,578.8714292579559,664675.4128308257,True,True,5.2558598252991305e-17,,,,,False,,,,55.0,True,0.08780733399999008,0.011221083999771508,12345,93.0,289.0,,,
T1,F1,2,16.0,0.0625,0.5,S1_lu,7.135712334781516e-06,1368.8488289137301,191830719.1619212,True,True,5.21699015649531e-17,,,,,False,0.02577327892842235,0.3232487240867978,0.32494452605967,0.0,True,0.1354819579996729,0.0004772499996761326,12345,157.0,1089.0,,,
T1,F1,2,16.0,0.0625,0.5,S2_cg_jacobi,7.135712334781516e-06,1368.8488289137301,191830719.1619212,True,True,5.21699015649531e-17,,,,,False,,,,346.0,True,0.1354819579996729,0.010279957999955514,12345,157.0,1089.0,,,
T1,F1,2,16.0,0.0625,0.5,S3_cg_amg,7.135712334781516e-06,1368.8488289137301,191830719.1619212,True,True,5.21699015649531e-17,,,,,False,,,,87.0,True,0.1354819579996729,0.01569062499993379,12345,157.0,1089.0,,,
T1,F1,2,32.0,0.03125,0.5,S1_lu,1.260527851849928e-09,5307.810415119528,4210783924631.1626,True,True,2.6846813457679554e-17,,,,,False,0.013400811623566622,0.25413692622039236,0.25445679253274084,0.0,True,0.3672660000001997,0.0006909999997333216,12345,206.0,4225.0,,,
